pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,correcta,porcentaje_aciertos,aciertos,fallos,veces_preguntada
¿Quién dirigió a Francia en el Mundial 2018?,Zidane,Laurent Blanc,Deschamps,Domenech,3,100.00,1,0,1
¿Qué futbolista fue goleador de la Copa América 2001?,Asprilla,Ángel,Víctor Aristizábal,Valderrama,3,100.00,1,0,1
¿En qué año se fundó el FC Barcelona?,1899,1905,1910,1888,1,0.00,0,1,1
¿Qué jugador marcó el gol más rápido en la historia de los mundiales?,Hakan Şükür,Mbappé,Pelé,Lineker,1,0.00,0,0,0
¿Qué club ganó la Europa League 2020?,Sevilla,Inter,Man. United,Arsenal,1,0.00,0,1,1
¿Qué selección jugó la final del Mundial 2018 por primera vez?,Croacia,Bélgica,Uruguay,Países Bajos,1,50.00,1,1,2
¿Cuál fue el presupuesto más alto de transferencia en 2023?,120 M EUR,150 M EUR,200 M EUR,180 M EUR,4,0.00,0,1,1
¿Qué selección ganó la Copa Oro 2021?,Estados Unidos,México,Canadá,Costa Rica,1,0.00,0,0,0
¿Quién ganó la Champions League 2023?,Real Madrid,Man. City,Inter de Milán,Napoli,2,0.00,0,0,0
"¿Quién es conocido como ""El Apache""?",Carlos Tévez,Sergio Agüero,Gabriel Batistuta,Ángel Di María,1,0.00,0,0,0
¿Qué jugador ganó el Mundial de Clubes 2019?,Salah,Mane,Firmino,Roberto Firmino,1,0.00,0,0,0
¿En qué club debutó Lionel Messi?,Newell's Old Boys,River Plate,Barcelona,Boca Juniors,3,0.00,0,0,0
¿Qué selección ganó la Copa América 2015?,Argentina,Chile,Brasil,Uruguay,2,0.00,0,0,0
¿Qué equipo inglés tiene más títulos de Premier League?,Chelsea,Arsenal,Man. United,Liverpool,3,0.00,0,0,0
¿Qué jugador argentino usó el dorsal 10 en el Mundial 1994?,Batistuta,Redondo,Maradona,Simeone,3,0.00,0,0,0
¿Quién marcó el gol del título de la Eurocopa 2012?,Mario Balotelli,Andrés Iniesta,Fernando Torres,Mario Gomez,2,0.00,0,0,0
¿Quién es el capitán de la argentina en 2022?,Ángel Di María,Lionel Messi,Nicolás Otamendi,Emiliano Martínez,2,0.00,0,0,0
¿Quién fue el primer jugador africano en ganar el Balón de Oro?,Salif Keïta,George Weah,Samuel Eto’o,Didier Drogba,2,0.00,0,0,0
